Date,Socrata Users,Socrata Sessions,Socrata Bounce Rate,Geohub Users,Geohub Sessions,Geohub Bounce Rate,Combined Users
04/17/2016,156,173,4.62,69,81,44.44,225
03/22/2015,126,140,2.86,,,,
06/26/2018,664,760,31.18,278,321,26.79,942
01/27/2018,188,214,19.16,102,117,26.50,290
02/25/2018,248,298,24.83,151,169,24.26,399
06/29/2015,440,510,7.25,,,,
07/04/2016,148,164,0.61,81,91,42.86,229
11/09/2017,451,503,20.87,241,268,33.58,692
07/11/2017,335,399,15.79,182,212,41.04,517
07/11/2018,637,741,27.40,305,333,24.32,942
01/12/2018,357,401,15.21,212,248,30.24,569
06/30/2016,328,371,0.81,173,207,52.66,501
05/30/2017,384,467,13.92,185,227,36.12,569
08/03/2015,433,479,5.22,,,,
04/17/2017,395,449,15.14,135,157,40.13,530
01/01/2015,35,39,58.97,,,,
10/07/2017,124,142,14.08,78,88,23.86,202
01/25/2017,432,498,11.85,147,166,40.96,579
10/29/2017,219,250,28.40,94,109,33.03,313
06/20/2014,242,283,54.06,,,,
06/22/2017,342,395,17.72,167,183,37.70,509
04/14/2016,417,471,2.76,177,217,37.79,594
05/21/2017,122,136,15.44,59,66,40.91,181
09/09/2018,264,284,30.63,3,4,75.00,267
09/30/2016,272,302,0.33,110,117,52.99,382
11/23/2014,58,69,36.23,,,,
11/13/2015,294,361,6.65,,,,
11/08/2016,401,445,0.22,154,186,54.84,555
07/26/2015,194,210,3.33,,,,
11/26/2016,126,135,0.00,33,38,47.37,159
05/18/2015,300,352,6.53,,,,
05/25/2017,363,424,10.14,159,180,37.22,522
03/16/2015,323,371,3.77,,,,
04/28/2017,335,392,11.22,131,161,47.20,466
11/14/2017,513,597,14.57,256,291,34.36,769
11/02/2016,382,423,0.00,203,245,42.45,585
08/16/2017,335,382,12.83,189,213,34.27,524
07/07/2014,214,270,42.22,,,,
05/29/2017,147,165,11.52,87,105,50.48,234
02/21/2017,444,497,9.05,165,184,48.37,609
07/18/2017,390,462,14.07,263,304,47.70,653
11/27/2017,519,655,15.73,317,421,27.32,836
05/06/2015,389,442,8.37,,,,
03/24/2017,292,337,10.98,155,177,41.24,447
09/14/2017,417,479,16.91,216,265,35.09,633
12/10/2017,197,232,21.55,104,107,28.97,301
03/28/2017,392,457,10.94,197,226,34.07,589
01/22/2018,548,626,17.57,303,343,27.11,851
04/07/2015,318,385,7.79,,,,
03/04/2015,109,119,12.60,,,,
02/23/2018,515,585,19.15,273,313,23.32,788
02/07/2018,601,701,20.54,313,339,31.56,914
03/18/2015,277,331,6.65,,,,
12/01/2015,312,386,5.44,,,,
06/16/2017,290,324,16.67,131,154,35.71,421
11/20/2017,497,590,15.59,256,289,33.56,753
12/11/2015,246,282,4.26,,,,
02/28/2018,676,782,21.48,322,356,27.25,998
02/20/2017,271,302,9.93,123,147,44.90,394
05/18/2017,371,444,12.84,177,205,36.10,548
09/07/2017,371,418,11.48,243,283,29.33,614
07/22/2017,127,140,16.43,60,67,38.81,187
08/17/2017,314,360,10.00,188,209,38.28,502
07/28/2014,148,183,46.99,,,,
06/13/2017,397,462,15.15,177,208,46.63,574
10/28/2015,329,420,5.00,,,,
12/14/2015,304,359,3.06,,,,
11/18/2017,159,181,22.65,108,127,25.20,267
12/20/2017,371,416,16.35,165,184,33.70,536
12/09/2017,177,203,17.24,88,104,21.15,265
08/28/2014,156,197,43.15,,,,
01/18/2017,389,440,10.91,132,151,51.66,521
10/05/2016,366,423,0.00,224,254,47.64,590
03/12/2017,128,142,11.27,56,63,33.33,184
10/31/2015,102,117,8.55,,,,
07/03/2016,127,137,0.00,56,60,40.00,183
05/24/2017,334,376,13.83,167,199,33.67,501
06/13/2015,85,97,8.25,,,,
07/14/2014,175,221,45.70,,,,
11/22/2014,47,56,37.50,,,,
08/01/2017,403,472,11.02,184,219,30.14,587
03/05/2016,102,115,1.74,55,62,38.71,157
09/21/2017,417,482,14.32,289,340,33.82,706
11/11/2014,127,141,50.35,,,,
10/14/2017,135,158,12.66,77,80,32.50,212
08/13/2015,412,442,5.43,,,,
01/20/2018,173,199,19.10,88,100,19.00,261
06/17/2016,361,405,3.46,105,131,45.80,466
07/30/2017,119,134,17.16,73,80,38.75,192
06/23/2017,311,362,14.92,110,123,41.46,421
07/18/2014,148,174,38.51,,,,
07/25/2018,580,660,27.42,449,486,18.72,1029
02/06/2015,183,218,51.83,,,,
10/03/2014,127,163,44.17,,,,
10/21/2016,240,272,0.00,123,145,41.38,363
08/30/2017,393,435,19.54,187,208,37.98,580
06/23/2014,176,252,41.67,,,,
08/07/2016,89,95,0.00,40,43,48.84,129
09/24/2016,112,124,0.00,43,52,42.31,155
07/02/2016,100,105,0.00,43,49,53.06,143
06/29/2017,350,407,11.79,188,223,42.15,538
02/17/2018,218,236,24.15,122,133,25.56,340
09/26/2017,446,519,12.52,253,288,35.42,699
03/31/2016,411,467,3.43,198,237,38.82,609
09/04/2014,200,238,44.54,,,,
06/10/2017,153,185,11.89,45,51,31.37,198
05/02/2015,132,139,5.76,,,,
06/28/2014,49,51,49.02,,,,
09/19/2015,92,106,2.83,,,,
06/24/2017,113,126,19.84,35,38,39.47,148
09/15/2017,315,363,19.28,167,202,33.17,482
12/18/2017,366,425,16.71,227,252,29.37,593
05/28/2017,119,133,9.02,58,63,39.68,177
08/05/2014,171,203,44.34,,,,
02/13/2018,598,682,20.97,313,377,19.36,911
10/01/2017,153,167,13.17,81,94,36.17,234
05/27/2017,106,119,12.60,38,40,37.50,144
10/16/2015,254,305,6.23,,,,
08/12/2017,108,117,26.50,48,53,20.75,156
09/30/2017,141,153,16.34,99,109,22.94,240
03/14/2016,396,445,3.15,140,181,45.86,536
07/20/2014,58,67,64.18,,,,
10/17/2017,505,570,18.42,284,360,31.94,789
04/12/2017,409,472,16.10,186,230,27.39,595
12/30/2015,223,253,1.19,,,,
04/12/2015,191,214,14.02,,,,
01/17/2018,459,510,17.06,281,324,31.48,740
10/16/2014,143,184,48.91,,,,
04/30/2017,123,142,19.01,56,63,44.44,179
03/31/2017,342,408,10.78,135,152,35.53,477
06/08/2017,357,418,11.96,146,167,31.14,503
09/17/2015,359,466,5.58,,,,
11/29/2017,495,557,19.75,274,314,32.48,769
12/01/2014,137,170,36.47,,,,
01/21/2018,217,245,20.41,142,158,29.75,359
04/20/2017,412,476,8.82,181,204,45.10,593
06/04/2017,134,151,9.93,65,70,34.29,199
07/02/2015,429,474,6.33,,,,
09/05/2017,400,450,13.56,227,269,35.32,627
10/10/2017,448,499,16.83,241,276,33.33,689
11/21/2017,438,510,16.67,229,264,25.76,667
01/10/2018,443,515,15.92,305,340,25.88,748
07/10/2017,419,480,12.92,170,194,39.18,589
02/01/2017,358,419,7.88,152,180,52.22,510
02/14/2017,397,469,9.59,138,163,38.04,535
08/08/2015,276,292,2.40,,,,
07/28/2016,315,346,0.00,182,234,38.03,497
06/27/2017,384,436,13.76,202,234,35.47,586
02/24/2016,348,404,3.71,190,229,46.29,538
02/27/2017,446,508,9.84,145,176,48.30,591
09/19/2017,415,473,15.64,382,440,26.14,797
07/11/2015,186,200,6.00,,,,
02/24/2015,231,268,49.25,,,,
02/18/2017,132,155,12.26,58,63,46.03,190
12/15/2015,311,354,5.65,,,,
08/31/2018,455,514,26.46,216,237,23.21,671
12/04/2016,177,197,0.51,49,59,28.81,226
01/07/2017,104,114,7.89,20,22,40.91,124
01/26/2018,422,488,17.42,225,275,26.55,647
01/29/2015,236,278,50.72,,,,
03/14/2015,151,179,3.91,,,,
10/26/2016,342,394,0.00,169,191,42.93,511
09/22/2017,363,417,18.94,233,276,26.09,596
03/04/2017,165,193,10.36,51,54,37.04,216
12/13/2017,436,497,18.91,243,302,27.81,679
02/09/2018,437,498,16.87,261,295,28.47,698
01/03/2016,110,135,5.93,,,,
06/12/2017,392,457,19.26,150,163,34.97,542
03/18/2016,260,288,4.17,107,126,40.48,367
04/08/2015,688,848,24.29,,,,
11/05/2017,173,199,21.11,91,108,21.30,264
03/03/2017,286,321,7.48,87,105,42.86,373
06/09/2014,288,381,43.57,,,,
12/31/2014,66,73,49.32,,,,
01/15/2018,312,358,23.18,180,215,28.37,492
03/18/2017,105,119,17.65,45,46,32.61,150
08/23/2017,341,391,13.04,214,260,43.08,555
12/19/2016,308,348,3.16,108,132,43.94,416
04/16/2016,133,150,2.67,40,52,40.38,173
05/26/2016,366,411,2.92,117,136,42.65,483
01/08/2015,171,200,51.50,,,,
03/25/2017,144,162,12.96,58,67,41.79,202
03/27/2017,317,363,15.15,176,207,38.65,493
12/26/2017,245,275,18.18,98,113,37.17,343
10/22/2017,214,256,15.62,106,121,34.71,320
11/15/2017,487,557,14.18,259,324,29.63,746
01/31/2015,65,72,62.50,,,,
09/27/2017,417,479,14.40,275,323,40.56,692
02/22/2018,559,634,22.24,307,342,25.15,866
07/30/2015,399,454,6.17,,,,
02/20/2016,115,127,2.36,92,113,47.79,207
03/20/2017,385,438,10.27,154,181,43.09,539
04/04/2016,392,444,2.93,172,206,40.29,564
11/17/2016,404,466,0.00,154,189,45.50,558
10/03/2016,342,371,0.00,146,178,47.19,488
07/19/2017,372,451,13.30,302,362,46.13,674
10/19/2017,444,521,17.47,222,257,30.74,666
11/05/2014,172,221,44.34,,,,
04/22/2017,167,195,21.54,65,72,31.94,232
11/08/2015,173,199,6.53,,,,
11/18/2014,210,257,46.30,,,,
09/26/2015,114,124,5.65,,,,
08/01/2016,329,383,0.00,124,175,41.71,453
10/27/2017,368,423,19.15,181,199,35.18,549
09/03/2017,125,138,17.39,89,107,29.91,214
08/19/2017,102,109,12.84,69,77,31.17,171
09/18/2015,301,376,6.38,,,,
02/17/2016,359,416,3.12,384,444,41.22,743
12/21/2015,290,342,4.39,,,,
11/06/2017,460,528,18.94,234,268,31.72,694
08/29/2017,377,420,15.95,214,243,32.92,591
10/26/2017,417,464,17.03,186,216,38.43,603
09/13/2016,350,411,0.00,156,187,43.32,506
03/07/2017,415,506,11.07,148,161,42.86,563
04/24/2017,413,458,14.85,162,189,37.04,575
02/19/2017,154,165,9.70,52,60,31.67,206
05/03/2017,404,466,11.37,189,233,39.48,593
09/04/2017,164,178,14.04,105,128,34.38,269
10/25/2017,440,489,13.70,261,289,30.80,701
09/18/2017,396,464,18.32,236,290,28.62,632
12/27/2017,298,346,17.05,127,143,24.48,425
07/24/2017,378,442,14.48,200,221,40.72,578
10/30/2017,477,545,16.88,228,256,33.98,705
12/31/2017,96,109,11.93,60,67,31.34,156
02/04/2015,212,258,50.78,,,,
08/15/2016,303,338,0.30,121,153,37.91,424
09/25/2016,141,149,0.00,59,71,43.66,200
04/11/2017,381,442,15.16,158,185,40.00,539
12/08/2015,288,349,5.44,,,,
04/20/2015,504,598,7.69,,,,
12/31/2015,151,172,1.74,,,,
05/26/2014,50,55,41.82,,,,
01/03/2018,428,493,16.43,219,240,26.25,647
11/28/2017,458,514,16.54,329,379,29.02,787
07/25/2016,318,371,0.00,151,167,45.51,469
06/30/2014,193,251,46.22,,,,
11/04/2017,167,186,18.82,74,88,34.09,241
12/24/2017,83,88,15.91,44,51,31.37,127
08/09/2016,307,339,0.00,140,175,43.43,447
08/02/2017,356,402,18.91,220,260,38.46,576
09/13/2017,451,505,14.65,237,276,37.32,688
07/12/2017,381,450,15.11,206,237,37.55,587
05/13/2017,125,142,18.31,34,45,26.67,159
07/31/2017,371,419,16.47,165,196,25.51,536
08/28/2018,625,691,28.36,313,351,26.50,938
02/03/2016,334,384,5.21,449,550,41.45,783
02/15/2016,270,300,1.67,125,154,38.96,395
03/08/2017,388,449,14.70,152,182,42.31,540
12/14/2017,392,468,19.23,224,264,31.82,616
07/04/2017,107,122,13.11,73,79,40.51,180
03/05/2017,157,178,5.62,67,76,36.84,224
02/12/2018,619,712,21.49,353,410,24.39,972
11/15/2014,70,74,50.00,,,,
02/28/2015,20,23,69.57,,,,
04/24/2016,182,208,5.77,33,38,44.74,215
09/28/2017,425,483,12.01,203,236,33.05,628
06/07/2017,398,449,14.25,166,195,36.92,564
02/13/2017,393,444,8.78,134,149,45.64,527
11/01/2015,143,166,13.25,,,,
07/15/2018,249,277,29.60,142,157,15.29,391
06/18/2017,112,132,19.70,41,47,44.68,153
04/06/2017,398,457,16.19,161,184,45.11,559
08/03/2014,49,60,41.67,,,,
01/09/2017,401,454,7.71,112,126,50.00,513
07/23/2018,609,711,27.29,296,318,21.07,905
06/20/2015,69,83,6.02,,,,
07/19/2016,318,348,0.00,143,162,41.98,461
07/29/2017,121,137,14.60,53,55,23.64,174
08/13/2017,114,122,9.02,45,47,42.55,159
08/19/2016,221,260,0.00,100,117,46.15,321
03/24/2016,400,451,2.88,95,119,40.34,495
12/11/2017,421,493,16.02,232,262,31.30,653
11/17/2014,214,273,49.45,,,,
02/15/2015,102,113,63.72,,,,
11/23/2015,317,406,7.64,,,,
05/22/2017,386,467,11.13,147,179,35.20,533
01/17/2016,145,166,2.41,,,,
10/11/2017,446,507,14.00,259,298,36.91,705
07/02/2017,102,114,12.28,63,71,28.17,165
04/26/2017,444,518,11.78,181,205,39.02,625
11/05/2016,126,142,0.00,34,39,41.03,160
10/15/2016,117,131,0.00,35,36,52.78,152
07/24/2018,634,724,29.70,330,359,23.12,964
02/23/2017,414,461,10.63,158,184,38.04,572
07/28/2017,297,354,15.25,168,194,40.72,465
10/09/2017,368,421,15.91,251,286,25.17,619
01/16/2018,495,570,17.54,252,295,31.19,747
03/16/2016,347,399,3.01,161,206,41.26,508
09/09/2017,145,168,19.64,108,137,18.25,253
04/27/2017,398,460,15.87,195,222,39.64,593
02/18/2018,227,262,33.59,109,129,29.46,336
11/20/2014,208,255,47.45,,,,
03/13/2017,385,454,9.03,137,157,44.59,522
05/08/2017,410,485,12.99,156,191,41.36,566
08/21/2018,553,611,28.31,288,316,25.63,841
08/11/2016,341,375,0.00,152,183,41.53,493
10/18/2017,511,578,15.74,263,312,33.33,774
11/11/2016,212,242,0.00,60,72,47.22,272
11/12/2014,156,188,40.96,,,,
07/06/2015,427,476,7.35,,,,
12/07/2016,362,433,0.46,157,185,45.95,519
02/08/2018,569,664,20.78,310,348,28.74,879
09/24/2014,163,207,46.86,,,,
11/27/2015,148,170,9.41,,,,
01/29/2017,135,144,8.33,32,34,44.12,167
08/17/2016,299,327,0.00,144,174,41.95,443
08/13/2018,560,625,24.64,277,316,27.53,837
10/16/2017,434,493,17.44,247,287,29.27,681
12/25/2017,90,102,20.59,47,52,36.54,137
06/17/2017,94,103,28.16,37,45,17.78,131
04/04/2017,437,510,10.00,166,186,38.71,603
05/09/2015,128,155,21.94,,,,
01/09/2018,439,491,18.74,270,309,28.16,709
09/11/2017,403,469,16.20,244,280,35.71,647
10/12/2017,439,514,13.81,231,258,31.78,670
05/07/2017,149,184,17.39,71,80,37.50,220
08/27/2014,203,248,51.21,,,,
08/25/2016,300,331,0.00,151,199,38.69,451
11/14/2015,127,149,5.37,,,,
05/31/2015,119,129,14.73,,,,
10/14/2016,254,302,0.00,113,131,48.86,367
07/29/2016,248,278,0.00,96,116,54.31,344
05/20/2016,282,319,3.45,101,122,40.98,383
08/26/2015,373,405,4.69,,,,
01/25/2016,400,471,5.94,,,,
06/19/2016,140,151,5.30,25,28,60.71,165
07/11/2016,347,394,0.00,196,221,36.65,543
03/16/2017,376,426,11.03,152,181,35.91,528
01/08/2017,118,131,9.16,33,38,39.47,151
08/20/2017,113,118,15.25,68,71,29.58,181
03/28/2016,468,509,2.36,129,146,39.04,597
08/25/2014,194,244,50.82,,,,
11/19/2016,135,153,0.00,33,39,30.77,168
12/10/2015,272,337,4.15,,,,
08/03/2018,460,503,26.84,202,215,24.19,662
07/05/2014,46,50,42.00,,,,
01/11/2017,381,446,15.25,141,160,40.62,522
01/08/2018,476,540,16.48,258,295,28.14,734
11/07/2017,482,549,16.39,286,332,34.34,768
03/26/2015,280,326,4.91,,,,
12/03/2017,197,250,28.00,97,107,28.97,294
02/05/2018,572,667,18.44,315,358,29.33,887
08/09/2017,380,429,16.78,196,224,38.84,576
11/25/2016,110,118,0.00,45,48,35.42,155
02/04/2018,206,225,21.33,119,131,24.43,325
09/27/2015,148,162,6.17,,,,
07/11/2014,115,142,55.63,,,,
07/14/2017,334,393,13.74,1030,1099,54.78,1364
07/27/2017,355,413,12.59,210,238,35.29,565
10/03/2015,118,131,5.34,,,,
12/22/2017,261,298,14.77,101,112,33.93,362
06/30/2017,280,314,14.01,123,146,34.93,403
12/02/2017,210,235,17.45,91,99,32.32,301
04/25/2017,390,444,11.71,188,216,33.80,578
12/04/2015,293,352,6.53,,,,
05/23/2017,366,424,12.74,187,208,41.35,553
07/21/2017,294,360,13.61,173,197,37.06,467
11/10/2016,331,376,0.27,136,165,44.24,467
02/11/2018,210,239,28.03,153,174,21.84,363
08/31/2014,50,55,50.91,,,,
12/30/2016,162,183,1.64,34,34,38.24,196
11/12/2017,217,260,16.15,115,151,28.48,332
05/05/2017,301,358,12.01,122,141,41.84,423
12/25/2016,86,89,3.37,22,27,44.44,108
01/10/2017,340,400,7.75,133,153,37.91,473
03/10/2017,376,441,14.74,112,130,37.69,488
11/17/2017,360,449,16.48,213,247,30.36,573
05/20/2017,121,132,15.15,39,45,24.44,160
07/25/2017,401,454,11.67,235,261,33.72,636
02/21/2018,585,670,21.64,329,368,29.62,914
05/12/2017,279,314,13.69,111,118,35.59,390
03/23/2017,372,416,9.38,171,192,38.54,543
09/07/2016,337,387,0.00,170,208,45.67,507
11/19/2017,185,210,17.14,90,97,37.11,275
09/13/2014,51,58,62.07,,,,
07/25/2014,103,127,37.80,,,,
07/23/2017,121,136,13.97,70,75,34.67,191
01/06/2018,150,165,28.48,68,78,29.49,218
11/28/2015,92,103,4.85,,,,
04/01/2015,282,325,6.77,,,,
02/09/2017,401,465,7.10,168,208,41.83,569
06/21/2014,58,63,60.32,,,,
03/01/2017,387,426,8.45,150,178,39.89,537
02/15/2018,527,605,23.64,295,339,27.73,822
08/08/2017,405,470,13.19,181,205,33.66,586
03/13/2015,284,329,3.04,,,,
04/29/2015,339,393,6.36,,,,
08/05/2017,133,154,14.29,58,62,29.03,191
08/15/2017,354,395,13.92,184,206,38.35,538
11/02/2017,424,484,19.21,199,242,24.38,623
11/11/2015,349,385,5.19,,,,
08/06/2017,133,157,21.66,75,89,33.71,208
07/23/2016,101,119,0.00,31,44,38.64,132
11/15/2016,399,468,0.00,166,202,42.08,565
03/22/2017,386,436,11.70,174,209,39.23,560
06/11/2014,317,400,45.50,,,,
12/16/2017,147,171,19.88,72,80,32.50,219
05/15/2017,351,424,9.67,163,197,40.61,514
04/30/2015,376,476,6.51,,,,
08/31/2017,367,409,18.83,199,236,33.47,566
04/03/2017,443,543,9.58,158,194,35.05,601
08/13/2014,151,217,38.25,,,,
11/25/2017,152,168,22.02,74,82,36.59,226
03/06/2017,383,448,8.71,145,164,42.68,528
10/08/2017,170,191,12.04,80,88,35.23,250
07/02/2018,654,732,35.38,244,265,24.53,898
01/25/2018,532,606,20.30,305,344,23.84,837
08/03/2017,392,449,13.14,186,204,35.78,578
06/27/2018,626,720,33.19,318,369,24.66,944
06/14/2014,59,71,52.11,,,,
10/21/2017,169,197,20.30,79,87,27.59,248
01/01/2018,148,166,25.30,77,90,24.44,225
12/26/2016,120,129,2.33,20,21,38.10,140
08/29/2018,641,741,29.15,301,329,23.40,942
09/06/2017,381,427,16.86,216,243,29.22,597
09/18/2014,190,244,35.25,,,,
03/30/2015,362,407,2.46,,,,
08/30/2015,106,117,5.98,,,,
09/06/2015,118,139,5.04,,,,
